mine density,score advance,score simp,mine density,Score Advanced Agent,score Simp Calc
193,63.1,47.36,193,32.69430052,24.5388601
194,55,50.96,194,28.35051546,26.26804124
195,62.1,51.76,195,31.84615385,26.54358974
196,61.3,46.96,196,31.2755102,23.95918367
197,58.9,46.84,197,29.89847716,23.77664975
198,59.9,47.68,198,30.25252525,24.08080808
199,48.8,47.6,199,24.52261307,23.91959799
200,51.2,43.84,200,25.6,21.92
201,52.3,43.4,201,26.0199005,21.5920398
202,49,47.08,202,24.25742574,23.30693069
203,47.9,43.64,203,23.59605911,21.49753695
204,48,41.56,204,23.52941176,20.37254902
205,44.9,41.88,205,21.90243902,20.42926829
206,48.1,43.16,206,23.34951456,20.95145631
207,42.6,40.8,207,20.57971014,19.71014493
208,45.6,39.96,208,21.92307692,19.21153846
209,39.4,35,209,18.85167464,16.74641148
210,41.5,34.04,210,19.76190476,16.20952381
211,33.5,37.12,211,15.87677725,17.59241706
212,33.8,31.28,212,15.94339623,14.75471698
213,35.4,30.12,213,16.61971831,14.14084507
214,31.3,30,214,14.62616822,14.01869159
215,27.7,30.08,215,12.88372093,13.99069767
216,27.7,26.8,216,12.82407407,12.40740741
217,23.8,23.48,217,10.96774194,10.8202765
218,20.1,21.28,218,9.220183486,9.76146789
219,16.6,17.56,219,7.579908676,8.01826484
220,15.1,16.2,220,6.863636364,7.363636364
221,12,12.84,221,5.429864253,5.809954751
222,9.4,9.48,222,4.234234234,4.27027027
223,9.1,6.68,223,4.080717489,2.995515695
224,3.4,2.68,224,1.517857143,1.196428571
